Date : 2026-04-12 19:50:28
Directory : e:\Сайты\Nodes
Total : 156 files,  20759 codes, 5541 comments, 2301 blanks, all 28601 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| e:\Сайты\Nodes\nodes-frontend\src\components\ui\sheet.tsx                                   | TypeScript JSX     |        127 |          0 |         15 |        142 |
| e:\Сайты\Nodes\nodes-frontend\src\components\ui\skeleton.tsx                                | TypeScript JSX     |         13 |          0 |          3 |         16 |
| e:\Сайты\Nodes\nodes-frontend\src\components\ui\tooltip.tsx                                 | TypeScript JSX     |         24 |          0 |          7 |         31 |
| e:\Сайты\Nodes\nodes-frontend\src\config\index.ts                                           | TypeScript         |          6 |          1 |          1 |          8 |
| e:\Сайты\Nodes\nodes-frontend\src\entities\connector\ui\ConnectorSelector.tsx               | TypeScript JSX     |        146 |         10 |         12 |        168 |
| e:\Сайты\Nodes\nodes-frontend\src\entities\core\model\coreSelectors.ts                      | TypeScript         |         13 |          4 |          3 |         20 |
| e:\Сайты\Nodes\nodes-frontend\src\entities\core\model\coreUtils.ts                          | TypeScript         |         16 |          3 |          2 |         21 |
| e:\Сайты\Nodes\nodes-frontend\src\entities\graph\lib\graphUtils.ts                          | TypeScript         |        130 |         50 |         31 |        211 |
| e:\Сайты\Nodes\nodes-frontend\src\entities\graph\model\buildGraphData.ts                    | TypeScript         |        101 |         19 |         13 |        133 |
| e:\Сайты\Nodes\nodes-frontend\src\entities\graph\model\types.ts                             | TypeScript         |         19 |         24 |          4 |         47 |
| e:\Сайты\Nodes\nodes-frontend\src\entities\graph\ui\ForceGraph.tsx                          | TypeScript JSX     |        144 |         16 |         23 |        183 |
| e:\Сайты\Nodes\nodes-frontend\src\entities\node\model\nodeUtils.ts                          | TypeScript         |         24 |          3 |          2 |         29 |
| e:\Сайты\Nodes\nodes-frontend\src\features\connectors\connectorService.ts                   | TypeScript         |         71 |          9 |         15 |         95 |
| e:\Сайты\Nodes\nodes-frontend\src\features\connectors\hooks\useConnectorsQuery.ts           | TypeScript         |         16 |          0 |          3 |         19 |
| e:\Сайты\Nodes\nodes-frontend\src\features\core-management\components\CoreMocManager.tsx    | TypeScript JSX     |         78 |          3 |         11 |         92 |
| e:\Сайты\Nodes\nodes-frontend\src\features\core-management\components\CoreSidebarCard.tsx   | TypeScript JSX     |        100 |          1 |          8 |        109 |
| e:\Сайты\Nodes\nodes-frontend\src\features\core-management\components\CreateCoreForm.tsx    | TypeScript JSX     |        102 |          0 |          9 |        111 |
| e:\Сайты\Nodes\nodes-frontend\src\features\core-management\components\EditCoreForm.tsx      | TypeScript JSX     |        104 |          0 |         10 |        114 |
| e:\Сайты\Nodes\nodes-frontend\src\features\core-management\coreService.ts                   | TypeScript         |        105 |         21 |         20 |        146 |
| e:\Сайты\Nodes\nodes-frontend\src\features\core-management\hooks\useCoresQuery.ts           | TypeScript         |        106 |          0 |         14 |        120 |
| e:\Сайты\Nodes\nodes-frontend\src\features\dashboard\components\CapacityBar.tsx             | TypeScript JSX     |         41 |          0 |          6 |         47 |
| e:\Сайты\Nodes\nodes-frontend\src\features\dashboard\components\DailyFocusSelector.tsx      | TypeScript JSX     |        117 |          2 |         13 |        132 |
| e:\Сайты\Nodes\nodes-frontend\src\features\dashboard\components\WeekCalendar.tsx            | TypeScript JSX     |         83 |          1 |         10 |         94 |
| e:\Сайты\Nodes\nodes-frontend\src\features\graph-visualization\hooks\useGraphData.ts        | TypeScript         |         33 |          8 |          6 |         47 |
| e:\Сайты\Nodes\nodes-frontend\src\features\graph-visualization\lib\iconCache.ts             | TypeScript         |         54 |         35 |         16 |        105 |
| e:\Сайты\Nodes\nodes-frontend\src\features\nodes\__tests__\nodeService.test.ts              | TypeScript         |         72 |         10 |         20 |        102 |
| e:\Сайты\Nodes\nodes-frontend\src\features\nodes\components\ColorPicker.tsx                 | TypeScript JSX     |         43 |          6 |          4 |         53 |
| e:\Сайты\Nodes\nodes-frontend\src\features\nodes\components\CreateNodeForm.tsx              | TypeScript JSX     |        384 |         27 |         30 |        441 |
| e:\Сайты\Nodes\nodes-frontend\src\features\nodes\components\EditNodeForm.tsx                | TypeScript JSX     |        312 |         20 |         29 |        361 |
| e:\Сайты\Nodes\nodes-frontend\src\features\nodes\components\IconPicker.tsx                  | TypeScript JSX     |        141 |         10 |          9 |        160 |
| e:\Сайты\Nodes\nodes-frontend\src\features\nodes\components\NodeCard.tsx                    | TypeScript JSX     |        139 |         14 |         12 |        165 |
| e:\Сайты\Nodes\nodes-frontend\src\features\nodes\components\NodeCardHeader.tsx              | TypeScript JSX     |         74 |          8 |          9 |         91 |
| e:\Сайты\Nodes\nodes-frontend\src\features\nodes\components\NodeCardSkeleton.tsx            | TypeScript JSX     |         39 |          4 |          6 |         49 |
| e:\Сайты\Nodes\nodes-frontend\src\features\nodes\components\NodeCardStability.tsx           | TypeScript JSX     |         48 |          4 |          6 |         58 |
| e:\Сайты\Nodes\nodes-frontend\src\features\nodes\components\NodeCardStats.tsx               | TypeScript JSX     |         22 |          3 |          3 |         28 |
| e:\Сайты\Nodes\nodes-frontend\src\features\nodes\components\NodePreview.tsx                 | TypeScript JSX     |        134 |         17 |         14 |        165 |
| e:\Сайты\Nodes\nodes-frontend\src\features\nodes\components\__tests__\EditNodeForm.test.tsx | TypeScript JSX     |        111 |         12 |         30 |        153 |
| e:\Сайты\Nodes\nodes-frontend\src\features\nodes\components\controls\BinaryControl.tsx      | TypeScript JSX     |         92 |          3 |          8 |        103 |
| e:\Сайты\Nodes\nodes-frontend\src\features\nodes\components\controls\DurationControl.tsx    | TypeScript JSX     |        305 |         18 |         34 |        357 |
| e:\Сайты\Nodes\nodes-frontend\src\features\nodes\components\controls\QuantityControl.tsx    | TypeScript JSX     |        216 |         11 |         20 |        247 |
| e:\Сайты\Nodes\nodes-frontend\src\features\nodes\hooks\useDailyFocusQuery.ts                | TypeScript         |         27 |          0 |          5 |         32 |
| e:\Сайты\Nodes\nodes-frontend\src\features\nodes\hooks\useImpulsesQuery.ts                  | TypeScript         |         51 |          1 |          6 |         58 |
| e:\Сайты\Nodes\nodes-frontend\src\features\nodes\hooks\useNodesQuery.ts                     | TypeScript         |         59 |          0 |         10 |         69 |
| e:\Сайты\Nodes\nodes-frontend\src\features\nodes\lib\createNodeSchema.ts                    | TypeScript         |         29 |         15 |         10 |         54 |
| e:\Сайты\Nodes\nodes-frontend\src\features\nodes\nodeService.ts                             | TypeScript         |        344 |         52 |         75 |        471 |
| e:\Сайты\Nodes\nodes-frontend\src\hooks\useAuth.ts                                          | TypeScript         |         24 |          2 |          6 |         32 |
| e:\Сайты\Nodes\nodes-frontend\src\hooks\useMediaQuery.ts                                    | TypeScript         |         14 |          0 |          4 |         18 |
| e:\Сайты\Nodes\nodes-frontend\src\hooks\useTheme.ts                                         | TypeScript         |         22 |          1 |          7 |         30 |
| e:\Сайты\Nodes\nodes-frontend\src\index.css                                                 | PostCSS            |        265 |          9 |         26 |        300 |
| e:\Сайты\Nodes\nodes-frontend\src\lib\djangoApi.ts                                          | TypeScript         |         39 |          1 |          9 |         49 |
| e:\Сайты\Nodes\nodes-frontend\src\lib\icons.ts                                              | TypeScript         |        130 |          7 |          3 |        140 |
| e:\Сайты\Nodes\nodes-frontend\src\lib\supabase.ts                                           | TypeScript         |         12 |          1 |          3 |         16 |
| e:\Сайты\Nodes\nodes-frontend\src\lib\utils.ts                                              | TypeScript         |          5 |          0 |          2 |          7 |
| e:\Сайты\Nodes\nodes-frontend\src\main.tsx                                                  | TypeScript JSX     |          9 |          0 |          2 |         11 |
| e:\Сайты\Nodes\nodes-frontend\src\pages\AuthCallbackPage.tsx                                | TypeScript JSX     |        112 |          7 |         13 |        132 |
| e:\Сайты\Nodes\nodes-frontend\src\pages\CreateNodePage.tsx                                  | TypeScript JSX     |          8 |          3 |          2 |         13 |
| e:\Сайты\Nodes\nodes-frontend\src\pages\EditNodePage.tsx                                    | TypeScript JSX     |         17 |          3 |          4 |         24 |
| e:\Сайты\Nodes\nodes-frontend\src\pages\GraphPage.tsx                                       | TypeScript JSX     |        235 |          9 |         20 |        264 |
| e:\Сайты\Nodes\nodes-frontend\src\pages\LoginPage.tsx                                       | TypeScript JSX     |        107 |          0 |         12 |        119 |
| e:\Сайты\Nodes\nodes-frontend\src\pages\NodesListPage.tsx                                   | TypeScript JSX     |        224 |         19 |         30 |        273 |
| e:\Сайты\Nodes\nodes-frontend\src\pages\NotFoundPage.tsx                                    | TypeScript JSX     |         29 |          0 |          2 |         31 |
| e:\Сайты\Nodes\nodes-frontend\src\pages\ProfilePage.tsx                                     | TypeScript JSX     |         25 |          0 |          2 |         27 |
| e:\Сайты\Nodes\nodes-frontend\src\pages\SignupPage.tsx                                      | TypeScript JSX     |        135 |          0 |         13 |        148 |
| e:\Сайты\Nodes\nodes-frontend\src\store\__tests__\useAppStore.test.ts                       | TypeScript         |         22 |          4 |          7 |         33 |
| e:\Сайты\Nodes\nodes-frontend\src\store\useAppStore.ts                                      | TypeScript         |         10 |          0 |          3 |         13 |
| e:\Сайты\Nodes\nodes-frontend\src\store\useNodesStore.ts                                    | TypeScript         |         10 |          8 |          5 |         23 |
| e:\Сайты\Nodes\nodes-frontend\src\tests\BinaryControl.test.tsx                              | TypeScript JSX     |         86 |          2 |         20 |        108 |
| e:\Сайты\Nodes\nodes-frontend\src\tests\NodeCardStability.test.tsx                          | TypeScript JSX     |         35 |          0 |         13 |         48 |
| e:\Сайты\Nodes\nodes-frontend\src\tests\NodeCardStats.test.tsx                              | TypeScript JSX     |         27 |          0 |         11 |         38 |
| e:\Сайты\Nodes\nodes-frontend\src\tests\NotFoundPage.test.tsx                               | TypeScript JSX     |         22 |          0 |          3 |         25 |
| e:\Сайты\Nodes\nodes-frontend\src\tests\QuantityControl.test.tsx                            | TypeScript JSX     |        134 |          0 |         29 |        163 |
| e:\Сайты\Nodes\nodes-frontend\src\tests\setup.ts                                            | TypeScript         |         15 |          2 |          4 |         21 |
| e:\Сайты\Nodes\nodes-frontend\src\types\index.ts                                            | TypeScript         |         62 |         37 |         15 |        114 |
| e:\Сайты\Nodes\nodes-frontend\src\widgets\Layout.tsx                                        | TypeScript JSX     |         88 |          7 |         10 |        105 |
| e:\Сайты\Nodes\nodes-frontend\src\widgets\ProtectedRoute.tsx                                | TypeScript JSX     |         26 |          0 |          7 |         33 |
| e:\Сайты\Nodes\nodes-frontend\tailwind.config.js                                            | JavaScript         |         10 |          1 |          1 |         12 |
| e:\Сайты\Nodes\nodes-frontend\tsconfig.app.json                                             | JSON               |         28 |          3 |          4 |         35 |
| e:\Сайты\Nodes\nodes-frontend\tsconfig.json                                                 | JSON with Comments |         13 |          0 |          1 |         14 |
| e:\Сайты\Nodes\nodes-frontend\tsconfig.node.json                                            | JSON               |         22 |          2 |          3 |         27 |
| e:\Сайты\Nodes\nodes-frontend\vercel.json                                                   | JSON               |          8 |          0 |          1 |          9 |
| e:\Сайты\Nodes\nodes-frontend\vite.config.ts                                                | TypeScript         |         29 |          1 |          2 |         32 |
| e:\Сайты\Nodes\nodes-frontend\vitest.config.ts                                              | TypeScript         |         15 |          0 |          2 |         17 |
